Title,Date,Rating,Description_Short,Minimum_Players,Maximum_Players,Minimum_Playtime,Maximum_Playtime,Age,Weight,Publisher,Type_Primary_ID,Type_Secondary_ID,Category_Primary_ID,Category_Secondary_ID,Category_Tertiary_ID,Mechanic_Primary_ID,Mechanic_Secondary_ID,Mechanic_Tertiary_ID,Description_Long
Virgin Queen,2012,8.04,Multiplayer European conflict during the CounterReformation of the late 16thC.,2,6,420,420,12+,4.42,Spielworxx,3916,3918,54,58,60,29,50,124,from GMT website:
The Lost Expedition,2017,7.06,Lead your intrepid explorers deep into the deadly jungle in your quest for El Dorado.,1,5,30,50,14+,0,Osprey Games,3917,0,3,15,29,42,64,154,Description from the publisher:
SpaceCorp: 2025-2300AD,2018,7.7,Develop your enterprise through the eras and take humanity to the stars.,1,4,60,240,12+,0,Nuts! Publishing,3916,0,24,29,69,41,64,124,SpaceCorp: 2025-2300 AD is a fast-playing board game in which one to four players explore and develop outer space over three eras. Each player controls an Earth-based enterprise seeking profit by driving the expansion of humanity into the Solar System and beyond. In SpaceCorp you can â€?
Container,2007,7.14,Players drive prices as they produce and ship goods in this economic simulation.,3,5,60,90,12+,3.25,"Valley Games, Inc.",3916,0,24,37,53,14,21,37,"Container is a game about big ships and big production. Each player will play both as a producer and shipper of goods. Players will decide which products they want to produce, and which of the OTHER players goods they want to ship out to a remote island. During these phases, players will be able to set the prices for their goods and try to maximize their cash!"
Akrotiri,2014,7.2,"Explore the Aegean Sea, connect trade routes, and discover temples by placing tiles.",2,2,45,45,13+,0,Z-Man Games,3916,0,9,19,24,3,64,88,"Akrotiri places you in the role of an explorer in Classical Greek times, combing the then-uncharted Aegean sea for lost Minoan temples that have long ago fallen into ruin. Youve not only heard of these temples hidden around the island of Thera, but you actually have access to the secret maps that tell you of their hidden locations! Two mountains to the north? A volcano to the west? This *must* be the spot..."
Last Night on Earth: The Zombie Game,2007,6.92,A handful of survivors aim to survive the night against the zombie horde.,2,6,60,90,12+,0,Flying Frog Productions,3917,0,33,35,46,50,64,97,"Last Night on Earth: The Zombie Game is a survival horror board game that pits small-town heroes head-to-head against a horde of zombies. A team of four heroes is chosen by one set of players, and the zombies are controlled by one or two players. Each hero has its own special abilities. The board is modular, which changes the layout of the town and start positions of each hero. The game comes with several scenarios, which include simple survival, rescue, or escape. Differing combinations of heroes, scenarios, and board configurations offer a lot of replayability."
Rurik: Dawn of Kiev,2019,7.84,"Claim your fathers throne! Build, tax, & fight through unique â€œauction programming.â€ù",1,4,60,120,13+,3.06,PieceKeeper Games,3916,0,19,24,44,10,11,14,"Rurik: Dawn of Kiev is a euro-style realm building game set in an 11th century Eastern European Kingdom. It features area control, resource management, and a new game mechanic - auction programming."
Summoner Wars: Phoenix Elves vs Tundra Orcs,2009,7.51,Fight with ferocious accuracy as the Elves or icy brutality as the Tundra Orcs.,2,4,30,30,9+,0,MINDOK,3913,3916,15,31,33,50,63,64,Blood will flow in the Wasted Summerlands!
Blue Lagoon,2018,7.2,Explore an unsettled archipelago and connect your villages by land and sea...twice!,2,4,30,45,8+,0,Blue Orange Games,3911,3914,1,0,0,10,32,39,Blue Lagoon is an area control and set collection game in which players manage a group of settlers spreading out over the islands of a newly discovered archipelago.
Homesteaders,2009,7.21,Homesteaders in the old west build a frontier settlement up into a town.,2,4,60,90,14+,3.04,Tasty Minstrel Games,3916,0,8,17,24,14,19,40,"Homesteaders is an auction and resource management game in which players bid on the opportunity to build certain types of buildings, then spend resource cubes to build one of several buildings of that type. The buildings confer abilities, income, and points; some automatically and some requiring a worker."
Formula DÃ©,1997,6.99,Use custom dice to race on Formula 1 courses.,2,10,120,120,10+,0,Guillaume Rohmer,3917,0,65,72,0,52,63,122,"Formula DÃ© is a fast-paced racing game in which the cars top speeds are limited by having to end a certain number of turns in each curve of the racetrack. This can be tricky, because although players can regulate their speeds by choosing which gear to be in and each gear allows a certain range of movement, the exact amount is determined randomly. Great fun for a big group."
Legendary: A Marvel Deck Building Game  Villains,2014,7.55,Dodge and demolish high-minded heroes to establish yourself as the leading villain.,1,5,45,45,14+,0,Upper Deck Entertainment,3913,3917,15,21,0,42,47,147,"The Legendary universe gets flipped upside down in Legendary: Villains  Marvel Deck Building Game, and you can now play as villains trying to take out the heroes protecting the city!"
Pictomania,2011,7.27,Pictionary chaos. Everyone draws and guesses at the same time.,3,6,25,25,9+,0,Czech Games Edition,3915,0,57,66,0,83,0,0,"Pictomania is a drawing game in which everyone is both drawing and guessing at the same time, giving a chance for those who excel only at one or the other skill to crush the dreams of other players."
Conflict of Heroes: Awakening the Bear!  Operation Barbarossa 1941 (Second Edition),2012,7.93,WWII Eastern Front tactical combat.,2,4,60,180,13+,3.26,"Academy Games, Inc.",3918,0,80,83,0,3,50,65,"Awakening the Bear is the first game in the multi-award winning Conflict of Heroes series. In it, players control individual squads and tanks to resolve the same tactical dilemmas and decisions that commanders faced during some of the most ferocious engagements of WWII."
Genoa,2001,7.06,Negotiate with your fellow traders to deliver goods and letters through Genoa.,2,5,60,120,12+,3.08,Franz Vohwinkel,3916,0,54,68,0,14,28,50,"In Genoa (originally published as The Traders of Genoa), players take the part of Renaissance traders, moving about the city acquiring goods and filling orders for goods. Messages need to be delivered and privileges obtained. Of course, none of this can be accomplished on ones own. Much negotiation and deal-making is the order of the day in an effort to become the richest deal-maker in Genoa. Flexible rules allow for negotiating almost everything in the game."
Battle for Rokugan,2017,7.44,Bluff and misdirect your clans way to victory in a minis-on-a-map without the minis.,2,5,60,90,14+,0,Hobby World,3916,3918,31,44,80,10,64,111,"Conquer the realm and bring honor to your clan in Battle for Rokugan! This turn-based strategy game of conquest and mayhem puts players in the role of Rokugan daimyÅç struggling for control over the rich land of the Emerald Empire. Leaders must balance their resources, plan their attacks, and outwit their enemies to ensure their clans victory. The land is there for the taking. The most honorable daimyÅç will win the day!"
Qwixx,2012,6.87,Use everyones dice rolls to mark off numbersâ€”but you cant go back once you pass.,2,5,15,15,8+,0,NÃ?rnberger-Spielkarten-Verlag,3914,0,23,40,56,27,50,114,"Qwixx is a quick-playing dice game in which everyone participates, no matter whose turn it is. Each player has a scoresheet with the numbers 2-12 in rows of red and yellow and the numbers 12-2 in rows of green and blue. To score points you want to mark off as many numbers as possible, but you can mark off a number only if its to the right of all marked-off numbers in the same row."
Unmatched: Little Red Riding Hood vs. Beowulf,2020,8.33,She survived the Big Bad Wolf. Can Little Red defeat Beowulf?,2,2,20,20,9+,0,Restoration Games,3916,0,15,31,33,3,11,30,"In battle, there are no equals."
Paris: La CitÃ© de la LumiÃ¨re,2019,7.37,Players compete for their moment in the light by placing oddly shaped building tiles.,2,2,30,30,8+,0,Devir,3911,3916,1,64,73,2,10,62,"Paris is a two-player board game by JosÃ© Antonio Abascal infused with Parisian aesthetics by the boardgameâ€™s artist Oriol HernÃ¡ndez. The game is set in late 19th century Paris during the 1889 â€œExposition Universelle,â€ù or worldâ€™s fair, when public electricity was a hot topic. Electricity spread throughout the city, creating todayâ€™s beautiful nocturnal Parisian streets and coining Parisâ€™s nickname â€œLa CitÃ© de la LumiÃ©reâ€ù, the city of lights."
Maharaja: The Game of Palace Building in India,2004,7.11,Architects travel through India to build magnificent palaces to please the marahaja.,2,5,90,90,12+,3.17,Phalanx Games Deutschland,3916,0,17,0,0,10,108,124,"A board game for two to five players with elements of area control and simultaneous action selection. During the game, the players take different roles and travel from city to city in India. Their architects build palaces and houses for the Maharadja."
Bridge,1925,7.45,Bid to communicate and to set trump. Then take tricks to fulfill your bid.,4,4,60,60,12+,3.87,,3911,3916,15,0,0,14,64,125,"Bridge is a standard deck, trick taking card game that pits two partnerships against each other. The first part of the game is the auction, by which partners attempt to communicate information about their hands by bidding, in order to arrive at a successful contract. The contract specifies how many tricks must be taken by the team that wins the bid. After the auction, a member of the team that won the bid tries to win as many tricks as possible while playing both hands from the partnership. One hand is played normally while the other (the dummy hand) is placed face-up on the table, allowing for greater control. The defenders attempt to take enough tricks to make the contract fail."
Mahjong,1850,7.03,"Use the Winds, Dragons and suit tiles you draw to finish with the best hand!",3,4,120,120,8+,0,Barbro Hennius,3911,0,1,0,0,64,148,0,"Mah-Jongg (Chinese éº»å°‡/éº»å°† MÃ¡jiÃ ng [game of the] sparrow) is a traditional Chinese game using illustrated tiles, with game play similarities to rummy. It is a popular gambling game, but wagering real stakes is by no means necessary to have fun playing."
Red Rising,2021,7.12,Craft a hand of powerful characters from the dystopian world of Red Rising.,1,6,45,60,14+,0,Stonemaier Games,3916,0,15,55,69,50,56,64,"Enter the futuristic universe of Red Rising, based on the book series by Pierce Brown featuring a dystopian society divided into fourteen castes. You represent a house attempting to rise to power as you piece together an assortment of followers (represented by your hand of cards). Will you break the chains of the Society or embrace the dominance of the Golds?"
Parade,2007,6.98,"Hold a parade for the Queen. In Wonderland, losing might be the best way to win.",2,6,45,45,8+,0,Yuka Saitoh,3914,0,15,55,0,64,148,0,The characters of Alices Adventures in Wonderland are having a Parade!
Kitchen Rush,2017,7.28,"Juggle orders, prepare dishes, and stock the pantry to satisfy your hungry customers.",1,4,30,45,12+,0,Artipia Games,3914,3917,66,0,0,6,42,134,"Youve just inherited an old restaurant and you must turn it into a successful business! Hire personnel, order the right ingredients and be ready to serve the customers that enter your restaurant. The success will depend entirely on your efficiency in the kitchen!"
Heroscape Master Set: Swarm of the Marro,2007,7.63,Take the battle to a swamp youve built using a team youve designed.,2,4,60,60,8+,0,Milton Bradley,3913,3917,3,31,33,50,97,0,The second Master Set for the HeroScape series of games.
Palm Island,2018,7.14,Develop and gather resources to grow an island that fits in the palm of your hand.,1,2,15,15,10+,0,Portal Dragon,3914,0,15,17,63,42,47,64,"Palm Island is a portable game that you can take with you anywhere. Sitting, standing, waiting, riding, flying, relaxing, alone, or together you can play Palm Island no table required."
Jaws,2019,7.18,Hunt down the killer shark terrorizing Amity Island. Then battle it out on the Orca.,2,4,60,60,12+,0,Ravensburger,3917,0,10,33,48,3,11,30,"In JAWS, one player takes on the role of the killer shark off Amity Island, while the other 1-3 players take on the roles of Brody, Hooper and Quint to hunt the shark. Character and event cards define player abilities and create game actions for humans and the shark. Gameplay is divided into two acts â€” Amity Island and The Orca â€” played on a double-sided board to replicate the films story:"
Louis XIV,2005,7.06,Influence the French court for your personal gain.,2,4,75,100,12+,3.01,Ravensburger,3916,0,4,15,60,10,64,97,"Louis XIV, by RÃ?diger Dorn, is about power and influence in the French court at the end of the 17th Century."
Lanterns: The Harvest Festival,2015,6.89,Decorate the lake with floating lanterns and dedicate your cards to gain honour!,2,4,30,30,8+,0,Renegade Game Studios,3914,0,0,0,0,64,116,148,"The harvest is in, and the artisans are hard at work preparing for the upcoming festival. Decorate the palace lake with floating lanterns and compete to become the most honored artisan when the festival begins."
Disney Villainous: Perfectly Wretched,2020,7.74,The cruelest of them all have come to conquer the spotlight.,2,3,40,60,10+,0,Ravensburger,3914,0,15,31,48,64,164,184,"In Disney Villainous: Perfectly Wretched, each player takes control of one of three Disney characters, each one a villain in a different Disney movie, specifically Cruella de Vil from 101 Dalmatians, Mother Gothel from Tangled, and Pete from Steamboat Willie. Each player has their own villain deck, fate deck, player board, and 3D character."
Wasteland Express Delivery Service,2017,7.37,Survive the wasteland as drivers for the last delivery company on earth!,2,5,90,120,13+,0,Pandasaurus Games,3916,3917,46,69,75,3,50,91,"Wasteland Express Delivery Service is the depraved brainchild of a superstar team of acclaimed game designers: Jon Gilmour (Dead of Winter), Matt Riddle (Fleet, Morocco), and Ben Pinchback (Fleet, Morocco), brought to technicolor life by award-winning comic artist Riccardo Burchielli (DMZ, Batman Black and White) to create the perfect marriage of emergent thematic gameplay and balanced strategy."
Thunder Alley,2014,7.31,Race your team of cars most efficiently to win stock car races.,2,7,90,90,10+,0,GMT Games,3917,0,65,72,0,64,130,0,"Thunder Alley is a stock car racing game for 27 players with the feel and flexibility of a card-driven simulation. Drafting, teamwork, accidents, yellow flags, pit strategy, working to lead laps, and sprints to the finish are all included and bring the feel of racing to the game. Players control not one car, but a team of 36 cars. Thus, each race is not only a run for the checkered flag but an effort to maximize the score for every car on your team. Winning is important, but if only one car crosses the finish line, your team might end up outside the winners circle looking in."
Core Worlds,2011,7.17,Barbarian kingdoms beyond the galactic frontier invade the core worlds of the galaxy.,2,5,60,120,10+,0,Stronghold Games,3916,0,15,19,69,47,64,110,Introduction
Web of Power,2000,7.3,Use monasteries and advisors to gain dominance over the different regions of Europe!,3,5,50,60,12+,0,Goldsieber Spiele,3914,3916,44,73,0,10,64,108,"Players struggle for influence over regions of Europe by placing two different type of control markers, Monasteries and Advisors. Monasteries are the basic placement, with the goal of securing a majority in a region or chain of monasteries or even decent points from second place. The placement of the Advisors is more restricted as the total number of Advisors in a region is limited by the majority players number of monasteries. The game is played in two rounds and is very fast paced."
Call to Adventure,2019,7.16,"Hero or Foe? You decide in this tile chucking, character building game.",1,4,30,60,13+,0,GaGa Games,3917,0,15,23,31,42,47,50,"Make your fate! Inspired by character-driven fantasy storytelling, Call to Adventure challenges 1-4 players to create the hero with the greatest destiny by acquiring traits, facing challenges, and overcoming adversaries."
Last Bastion,2019,7.54,Work together and defend your last outpost against invading hordes of monsters.,1,4,45,45,14+,0,Repos Production,3916,0,31,33,44,42,50,51,"A handful of heroes have just stolen the powerful relics of the Baleful Queen. Without them, the immortal sovereign is weakened; recovering them is now her sole purpose."
Adrenaline,2016,7.02,Gear up to destroy opponents with loads of guns in this first-person shooter sim.,3,5,30,60,12+,0,Czech Games Edition,3916,3917,33,46,69,3,10,63,"In the future, war has left the world in complete destruction and split the people into factions. The factions have decided to stop the endless war and settle their dispute in the arena. A new virtual bloodsport was created. The Adrenaline tournament. Every faction has a champion, every champion has a chance to fight and the chance to win. Will you take the chance of becoming the next champion of the Adrenaline tournament?"
Dungeons & Dragons: Wrath of Ashardalon Board Game,2011,7.11,A terrifying red dragon lurks deep within a monster-infested labyrinth maze.,1,5,60,60,12+,0,Wizards of the Coast,3917,0,3,29,31,42,50,63,From Wizards of the Coast website:
Summoner Wars: Guild Dwarves vs Cave Goblins,2009,7.57,Fight with siege warfare as the Dwarves or overwhelming swarm tactics as the Goblins.,2,4,30,30,9+,0,Plaid Hat Games,3913,3916,15,31,33,50,63,64,The battle ignites in the Mountains of Sorrow!
Smash Up: Science Fiction Double Feature,2014,7.26,Standalone set themed around classic Mad Science.,2,2,30,45,12+,0,uplay.it edizioni,3916,3917,15,31,35,10,64,164,Smash Up is back with even more wild factions in the mix! Science Fiction Double Feature brings four new decks to the base-smashing business with abilities unlike those seen before!
Tragedy Looper,2011,7.18,"Players live, die, and repeat in order to outwit and defeat the evil Mastermind.",2,4,120,120,13+,3.53,BakaFire Party,3916,3917,13,15,22,38,48,63,"Tragedy Looper is a scenario-based deduction game for two to four players: one mastermind and one to three protagonists. The game consists of four location boards and a number of character cards. Each scenario features a number of characters, hidden roles for these characters (serial killer, conspiracy theorist, friend), and some pre-set tragedies (murder, suicide)."
Age of Industry,2010,7.36,Add a Brief Description,2,5,120,120,13+,3.37,Treefrog Games,3916,0,24,37,75,64,85,91,Martin Wallaces streamlined redesign of Brass: Lancashire.
The Others,2016,7.34,Faith is pitted against the sins as the Apocalypse arrives.,2,5,90,90,14+,3.03,Guillotine Games,3917,0,31,33,35,10,11,50,"In The Others, the world stands on the brink of apocalypse, as the fanatics of the Hell Club have summoned the 7 Deadly Sins to lay waste to our reality. Slowly the Others have creeped into our lives, corrupting society from within. The city of Haven is the key to their invasion, but it will not go down without a fight, thanks to the actions of the paranormal organization known as F.A.I.T.H. (Federal Authority for the Interdiction of Transdimensional Horrors). Each session of The Others is played with one player controlling the forces of a single Sin, against the other players who control a team of 7 FAITH heroes. The heroes cooperate to survive the Sins attacks and accomplish the missions set before them, while the Sin attempts to thwart the heroes in all ways (preferably by destroying them)."
Raccoon Tycoon,2018,7.34,"Build railroads, towns and goods to become the most prodigious critter in Astoria.",2,5,60,90,8+,0,Forbidden Games,3914,3916,10,24,0,14,22,37,"Astoria is a land bustling with productivity and growth! New towns, factories, and railroads are springing up across the land. A few savvy business tycoons (you and your opponents) are determined to make your fortunes on the crest of this wave. These tycoons start out as the producers of the key commodities: wheat to feed the growing towns and factories, wood and iron to build them, coal to fuel the trains and factories, and manufactured goods and luxuries to fill the insatiable demand of the animals of Astoria."
Werewords,2017,7.14,20 questions with a twist... a time limit and a sneaky werewolf who knows the answer!,4,10,10,10,8+,0,BÃ©zier Games,3915,0,22,57,66,67,140,173,"In Werewords, players guess a secret word by asking yes or no questions. Figure out the magic word before time is up, and you win! However, one of the players is secretly a werewolf who is not only working against you, but also knows the word. If you dont guess the word in time, you can still win by identifying the werewolf!"
Britannia,1986,7.2,Control multiple nations in conflicts that span a millennium of British history.,3,5,180,300,12+,3.16,The Avalon Hill Game Co,3918,0,9,19,44,11,50,149,"Britannia is a historical Strategic board-wargame that broadly depicts the millennia-long struggle for control of England, Scotland, and Wales. The game begins with the Roman invasion of 43 A.D., continues through the many struggles between Angles, Saxons, Picts, Norsemen, Scots, Irish, and other tribes, and ends with the Norman invasion of 1066."
Ascension: Storm of Souls,2011,7.29,Events and fanatics uproot the Ascension universe.,1,4,30,30,13+,0,Stone Blade Entertainment,3916,0,15,31,0,47,64,110,"Samael is dead, but a storm is still raging across Vigil. Ascension: Storm of Souls takes players into the chaos following the Fallen Ones demise. As Samaels monsters run wild and his minions conspire, the world is being slowly overtaken with souls that should have moved on. Are you ready for the new challenges that Vigils future holds?"
Tiny Epic Quest,2017,7,"Push your luck to fight goblins, explore temples, and learn spells.",1,4,30,60,14+,0,Gamelyn Games,3916,0,3,31,78,11,50,97,"A world of peace has been torn asunder by the opening of a vile portal from the goblin kingdom. Nasty goblins pour into the peaceful groves and villages of the elf world, setting the realm ablaze. Now you, the heroes, must quest in order to right this wrong. There are two paths to victory: closing the portal or slaying all the goblins. Which one will you choose? Either way, your quests will be aided by the help of the surviving mushroom folk â€” and by the epic items that have been lost in the realms deep dungeons. The world is ending quickly, so you must act fast to save it, but you also need to know when your luck will run out..."
Zooloretto,2007,6.82,Add to or take an animal collection? Build the best zoo and fill those pens.,2,5,45,45,8+,0,ABACUSSPIELE,3914,0,10,0,0,148,169,0,"In Zooloretto, each player uses small, large, wild, and exotic animals and their young to try to attract as many visitors as possible to their zoo  but be careful! The zoo must be carefully planned as before you know it, you might have too many animals and no more room for them. That brings minus points! Luckily, your zoo can expand. A zoo of a family game in which less is sometimes more..."
Dinosaur Island: Rawr n Write,2021,7.85,Draw the most exciting dinosaur theme park known to humankind.,1,4,30,45,10+,0,Pandasaurus Games,3916,0,10,69,0,50,62,114,Dinosaur Island: Rawr n Write is a roll-and-write version of the critically-acclaimed game Dinosaur Island.
Nightmare Productions,2000,7.04,Bid contracts to produce golden age blockbusters with the best directors and stars..,2,5,60,60,10+,0,Olivier FagnÃ¨re,3914,3916,48,0,0,14,35,148,"Reiner Knizias auction game about producing movies. In four rounds, players bid on chips representing genuine directors, actors, camera, effects, music, guest stars and agents. These all get placed on players film-strips, to complete the movie production. So one movie might need 2 actors, but no music or effects and so on. As films are completed, the points value is marked and another film-strip taken. There are two parties each round where players get to pick from offers without paying anything. There are bonus points for first films completed and best films, best directors, even worst film."
Dungeons & Dragons: Castle Ravenloft Board Game,2010,6.98,The master of Ravenloft is having guests for dinner  and you are invited!,1,5,60,60,12+,0,Wizards of the Coast,3917,0,3,29,31,42,50,63,"Castle Ravenloft Boardgame by Bill Slavicsek, Mike Mearls and Peter Lee
The master of Ravenloft is having guests for dinner  and you are invited!
Evil lurks in the towers and dungeons of Castle Ravenloft, and only heroes of exceptional bravery can survive the horrors within. Designed for 1-5 players, this boardgame features multiple scenarios, challenging quests, and cooperative gameplay."
Attika,2003,6.99,Construct your classical Greek city using resources on the board and cards.,2,4,45,60,10+,0,Hans im GlÃ?ck,3916,0,9,17,73,97,108,169,"In ancient Greece â€” the cradle of European culture â€” Athens, Sparta, Corinth, and Thebes compete for dominance of the Greek peninsula and influence over the shrines. Each player oversees the building of their own city-state. Temple, theater and oracle, a harbor with ships, vineyard with vintner, and many more must find space on the Greek peninsula."
Hawaii,2011,7.13,"Chieftains build huts, plant fruits, dance and surf on a sunny island.",2,5,90,90,13+,0,Hans im GlÃ?ck,3916,0,0,0,0,3,11,97,Game description from the publisher:
Luxor,2018,7.2,Its a race to the tomb as you control a team of loot grabbing archaeologists!,2,4,45,45,8+,0,Dennis Lohausen,3914,0,3,9,0,50,64,97,"On the hunt for priceless treasures, groups of adventurers explore the legendary temple at Luxor. Their ultimate goal is the tomb of the pharaoh, but many treasures can be collected as they search. As they explore, the challenge unfolds: The player who manages to quickly get their team of adventurers to the tomb, while salvaging as many treasures as possible, will be the winner."
Concept,2013,6.79,Select icons to help your team guess a secret word or phrase.,4,12,40,40,10+,0,Repos Production,3915,0,22,57,0,38,166,0,"In Concept, your goal is to guess words through the association of icons. A team of two players  neighbors at the table  choose a word or phrase that the other players need to guess. Acting together, this team places pieces judiciously on the available icons on the game board."
Detective Club,2018,7.4,Come up with an explanation for your surreal cards to hide your secret role.,4,8,45,45,8+,0,IGAMES,3915,0,13,15,22,140,161,166,"Detective Club is a board game for players who enjoy party games, with simple rules that take just a minute to explain. Intrigue, sudden revelations, limitless creativity, and tons of fun await you in this game! Lead the investigation as a detective, or cover your tracks as the infiltrated conspirator. Discuss, accuse, object and try to convince everyone."
Legacy: The Testament of Duke de Crecy,2013,7.14,Build the most powerful and influential family tree in 18th century France.,1,4,60,60,8+,0,Portal Games,3916,3917,4,15,24,56,64,110,"It is 1729 in pre-revolution France, a time when the aristocracy has all the power and the means to rule the country. As a wealthy, well-educated aristocrat, you have travelled the world and had the fortune to enjoy your life to the fullest  but you see that history is about to change course and you know that in order to stay strong, your family must prepare well. You need to find new allies. You must absorb smaller families and use their potency to strengthen your kin. You have to arrange wise marriages, nurture strong connections at court, obtain titles, build mansions, and find the right spouses for your daughters and sons..."
The Castles of Burgundy: The Card Game,2016,6.97,"Watch your estate grow as you settle, build, mine, and trade in the Loire Valley.",1,4,30,60,12+,0,Ravensburger,3916,0,15,0,0,64,110,148,Description from the publisher:
Snow Tails,2008,6.97,"Race your dogsled in the icy tracks, managing the bends and slippery grips.",2,5,45,60,10+,0,Fragor Games,3914,3916,10,65,72,64,97,122,"Snow Tails is set in the snowy world of the Arctic Circle, where brave sledders compete in a test of skill and endurance. Action is fast and furious and not all sleds may make it to the finish. Huskies only have one setting and that is full speed! Hang on to your furs, the reins, your sled and anything else you can get hold of."
Lovecraft Letter,2017,7.22,Confront eldritch lore: win by staying sane or triumph through madness!,2,6,5,15,10+,0,Switch Games,3915,0,15,22,31,64,122,144,"It is the 1920s, and the world is in a state of confusion following WWI. During this time, you and your friends find yourselves amongst mysterious events. You are surrounded by strange figures, letters with unreadable texts, as well as sudden appearances of being unknown. By relying on your connections, you set out to investigate these incidents. Unknown to you are the frightful truths that lie in wait ahead of you..."
Fabled Fruit,2016,7,Collect fruit and craft delicious juices while your action options change and shift.,2,5,20,30,8+,0,2F-Spiele,3914,0,10,15,0,148,188,0,Once upon a time there was a marvelous forest full of gorgeous fruits. These fruits could be squeezed and mixed into the most delicious juices...
5-Minute Dungeon,2017,6.98,"Explore a dungeon, kill monsters, and defeat a boss...all in 5 minutes!",2,5,5,30,8+,0,Wiggles 3D,3914,0,15,31,33,42,54,64,"5-Â?Minute Dungeon is a chaotic, co-Â?operative, real-Â?time card game in which players have only five minutes to escape the randomized dungeon. Communication and teamwork are critical to survival because theres no time to form a carefully considered plan â€” and no predicting what dangers lie ahead."
DinoGenics,2019,7.66,Build and manage your own dinosaur island resort.,1,5,90,120,14+,0,Ninth Haven Games,3917,0,69,73,0,50,57,64,"DinoGenics is a competitive game for two to five players, in which each player attempts to build and run their own successful dinosaur park."
Meeple Circus,2017,7.07,"Build your growing circus act of comically tiny acrobats, animals, and props.",2,5,45,45,8+,0,Matagot,3914,0,2,10,0,110,116,128,Let the show begin!
Coffee Roaster,2015,7.42,Brew the richest blends and score high in this solo puzzle.,1,1,10,30,12+,0,Saashi & Saashi,3916,0,37,0,0,47,95,109,"Coffee Roaster is a solitaire pool-building game. You choose a variety of coffee beans you want to roast, and put a number of tokens specific to that variety into a bag. Each turn, you draw a number of bean tokens randomly from the bag to advance their roast level. When you are finished, you make a cup-testing to check the taste of your coffee and score points accordingly. Each variety has its own target roast level, but approaching the target is not enough for perfect roasting; you also have to even out the roast level of each bean, while not spoiling the flavor of that variety."
Istanbul: The Dice Game,2017,7.17,Roll worker dice to collect and trade resources to acquire shiny rubies!,2,4,20,40,8+,0,Andreas Resch,3914,0,23,0,0,3,50,148,"Istanbul: Das WÃ?rfelspiel is a standalone dice game in which players are once again plunging into the bustle of Istanbuls bazaar to collect rubies and thus secure their victory. By cleverly using the dice, the players can make money and goods, then exchange them for the precious jewels."
Zombicide: Invader,2019,7.83,Guide survivors to complete their objectives while defending against waves of aliens.,1,6,60,60,14+,0,CMON Global Limited,3916,3917,46,69,84,3,42,50,"Humans set off into the stars in search of high-powered fuel and found it in the remote corner of the universe on the small planet PK-L7. Their discovery of Xenium â€” a dark, oily compound deep below the planets surface â€” was everything they hoped for. But they found something else, too. The Xenos attack was brutal and unrelenting. While the scientists and soldiers have held them off the best they could, the Xenos are still coming..."
Qwirkle,2006,6.78,Complete a set of shapes or colors among the criss-crossing tiles for big points!,2,4,45,45,6+,0,(Uncredited),3911,3914,1,0,0,64,116,169,"The abstract game of Qwirkle consists of 108 wooden blocks with six different shapes in six different colors. There is no board, players simply use an available flat surface."
The Grimm Forest,2018,7.11,"Build houses of straw, wood and brick while avoiding villains like the Big Bad Wolf.",2,4,45,60,14+,0,Druid City Games,3914,0,10,31,0,138,148,150,"Welcome to The Grimm Forest, where family members of the legendary Three Little Pigs are having an epic house building competition. But this is no ordinary competition as all the most famous Fairy Tale characters will be looking on and occasionally lending a hand."
Unmatched: Jurassic Park  InGen vs Raptors,2020,8.18,"Hold onto your butts, its dinos vs. the worlds greatest hunter.",2,2,20,40,14+,0,Restoration Games,3914,3916,10,15,31,3,11,30,"In battle, there are no equals."
Babylonia,2019,7.68,Compete for the land and cities between the rivers while commanding mighty ziggurats.,2,4,60,60,14+,0,Ludonova,3916,0,1,9,0,10,32,64,"The Neo-Babylonian empire, especially under the reign of Nebuchadnezzar II (605-562 B.C.), was a period of rebirth for southern Mesopotamia. Irrigation systems improved and expanded, increasing agricultural production. Urban life flourished with the creation of new cities, monuments and temples, and the consequent increase in trade."
The Adventures of Robin Hood,2021,7.68,Take on the role of Robin Hood in a cooperative game that changes while you play.,2,4,60,60,10+,0,KOSMOS,3914,3917,31,44,0,42,143,161,"In England in 1193, the county of Nottinghamshire suffers under the yoke of evil Prince John and his henchmen. Can Robin Hood and his companions escape the sheriffs guards and complete their adventures successfully?"
Circadians: First Light,2019,7.61,Open negotiations and build coalitions with new species in space.,1,4,60,90,12+,3.44,Garphill Games,3916,0,23,69,70,41,50,57,"We were light years from our home, galaxies away, when we first discovered this ancient celestial body â€” a planet filled with intriguing, intelligent lifeforms, not too unlike our own. Some built kingdoms below the surface of the green seas, while others controlled the desert-filled plains and cliffs. Among them we found scientists, inventors, farmers, traders and fighters. While our presence has been unsettling for some, we have had very few incidents with the locals. Still, we Circadians, Earths famed explorers, must do what we can to ensure peace. We must respect this world and its hosts. The heads of Moontide passed down orders from above. We are to open negotiations with the three clans, in hopes of gaining their favor, along with our own security while on the planet. We must also collect organic samples for the depository on Moontide. This is new ground for all of us, but we must be brave and resourceful. The future of the Circadians depends on it."
